,title,artist,date,medium,dimension,image_path
673,The Descent from the Cross,Bernardino Jacobi Butinone,c. 1485,Tempera on panel (poplar),Panel: 26 × 20.4 cm (10 3/16 × 8 1/16 in.); Painted surface: 25.6 × 20 cm (10 × 7 7/8 in.); With Frame: 30.5 × 25.4 cm (12 × 10 in.),Dataset\Bernardino Jacobi Butinone\the-descent-from-the-cross
674,Equestrienne (At the Cirque Fernando),Henri de Toulouse-Lautrec,1887/88,Oil on canvas,39 1/2 × 63 1/2 in. (100.3 × 161.3 cm),Dataset\Henri de Toulouse-Lautrec\equestrienne-at-the-cirque-fernando
675,Virgin and Child Enthroned,Girolamo da Santacroce,1516,"Tempera or oil on panel, transferred to canvas",86.9 × 44.7 cm (34 1/4 × 17 5/8 in.),Dataset\Girolamo da Santacroce\virgin-and-child-enthroned
676,Portrait of a Gentleman,Ridolfo Ghirlandaio,c. 1505,"Oil, probably with some tempera, on panel; transferred to canvas",68.2 × 49.2 cm (26 11/16 × 19 3/8 in.),Dataset\Ridolfo Ghirlandaio\portrait-of-a-gentleman
677,Saint John the Baptist Entering the Wilderness,Giovanni di Paolo,1455/60,Tempera on panel,68.5 × 36.2 cm (27 × 14 1/4 in.); painted surface: 66.3 × 34 cm (26 1/16 × 13 7/16 in.),Dataset\Giovanni di Paolo\saint-john-the-baptist-entering-the-wilderness
678,Ecce Agnus Dei,Giovanni di Paolo,1455/60,Tempera on panel,68.5 × 39.5 cm (27 × 15 1/2 in.); painted surface: 66.3 × 37 cm (26 1/16 × 14 5/8 in.),Dataset\Giovanni di Paolo\ecce-agnus-dei
679,Saint John the Baptist in Prison Visited by Two Disciples,Giovanni di Paolo,1455/60,Tempera on panel,68.3 × 40 cm (26 7/8 × 15 3/4 in.); painted surface: 66.3 × 37.8 cm (26 1/16 × 14 7/8 in.),Dataset\Giovanni di Paolo\saint-john-the-baptist-in-prison-visited-by-two-disciples
680,Salome Asking Herod for the Head of Saint John the Baptist,Giovanni di Paolo,1455/60,Tempera on panel,69.1 × 36 cm (27 3/16 × 14 3/16 in.); painted surface: 66.7 × 33.7 cm (26 5/16 × 13 1/4 in.),Dataset\Giovanni di Paolo\salome-asking-herod-for-the-head-of-saint-john-the-baptist
681,The Beheading of Saint John the Baptist,Giovanni di Paolo,1455/60,Tempera on panel,68.6 × 39.1 cm (27 × 15 3/8 in.); painted surface: 66.3 × 36.6 cm (26 1/16 × 14 7/16 in.),Dataset\Giovanni di Paolo\the-beheading-of-saint-john-the-baptist
682,The Head of Saint John the Baptist Brought before Herod,Giovanni di Paolo,1455/60,Tempera on panel,68.5 × 40.2 cm (27 × 15 13/16 in.); painted surface: 66.1 × 38.1 cm (26 1/32 × 15 in.),Dataset\Giovanni di Paolo\the-head-of-saint-john-the-baptist-brought-before-herod
683,Virgin and Child Enthroned with Two Angels Holding a Crown,Ansano Ciampanti,1505/15,Tempera on panel,107.8 × 46.5 cm (42 3/8 × 18 5/16 in.),Dataset\Ansano Ciampanti\virgin-and-child-enthroned-with-two-angels-holding-a-crown
684,The Death of the Virgin,Gherardo Starnina,1405/10,Tempera on panel,Panel: 43.6 × 67.6 cm (17 1/8 × 26 5/8 in.); Painted Surface: 40.4 × 64 cm (15 15/16 × 25 1/4 in.),Dataset\Gherardo Starnina\the-death-of-the-virgin
685,The Dream of Saint Jerome,Matteo di Giovanni,1476,Tempera on panel,14 3/4 × 25 7/8 in. (37.4 × 65.7 cm); painted surface: 14 1/8 × 25 3/8 in. (35.8 × 64.4 cm),Dataset\Matteo di Giovanni\the-dream-of-saint-jerome
686,Saint Augustine's Vision of Saints Jerome and John the Baptist,Matteo di Giovanni,1476,Tempera on panel,14 3/4 × 26 in. (37.6 × 66.1 cm); painted surface: 14 1/8 × 25 3/8 in. (36 × 64.4 cm),Dataset\Matteo di Giovanni\saint-augustine-s-vision-of-saints-jerome-and-john-the-baptist
687,Bishop Saint Enthroned,Allegretto Nuzi,1360/70,Tempera on panel,118.8 × 65.7 cm (46 3/4 × 25 7/8 in.),Dataset\Allegretto Nuzi\bishop-saint-enthroned
688,The Baptism of Christ,Perugino,1500/05,"Tempera on panel, transferred to canvas",27.3 × 46.4 cm (10 3/4 × 18 1/4 in.),Dataset\Perugino\the-baptism-of-christ
689,Christ and the Woman of Samaria,Perugino,1500/05,"Tempera on panel, transferred to canvas",27.3 × 46.3 cm (10 3/4 × 18 1/4 in.),Dataset\Perugino\christ-and-the-woman-of-samaria
690,The Nativity,Perugino,1500/05,"Tempera on panel, transferred to canvas",26.2 × 46.3 cm; 10 5/16 × 18 1/4 in.,Dataset\Perugino\the-nativity
691,Noli Me Tangere,Perugino,1500/05,"Tempera on panel, transferred to canvas",27.3 × 46.3 cm (10 3/4 × 18 1/4 in.),Dataset\Perugino\noli-me-tangere
692,"Virgin and Child with Saints Jerome, Bernardino of Siena, and Angels",Sano di Pietro,1450/60,Tempera on panel,Painted Surface: 66.2 × 48.2 cm (26 1/8 × 19 1/4 in.),Dataset\Sano di Pietro\virgin-and-child-with-saints-jerome-bernardino-of-siena-and-angels
693,"Susanna and the Elders in the Garden, and the Trial of Susanna before the Elders",Master of Apollo and Daphne,c. 1500,Tempera on panel,64 × 159 cm (25 1/4 × 62 5/8 in.),Dataset\Master of Apollo and Daphne\susanna-and-the-elders-in-the-garden-and-the-trial-of-susanna-before-the-elders
694,"Daniel Saving Susanna, the Judgment of Daniel, and the Execution of the Elders",Master of Apollo and Daphne,c. 1500,Tempera on panel,63.7 × 157.8 cm (25 1/8 × 62 1/8 in.),Dataset\Master of Apollo and Daphne\daniel-saving-susanna-the-judgment-of-daniel-and-the-execution-of-the-elders
695,Saint Francis before the Pope (The Approval of the Franciscan Rule),Spinello Aretino,1390/1400,Tempera on panel,88.7 × 62.9 cm (34 7/8 × 24 3/4 in.),Dataset\Spinello Aretino\saint-francis-before-the-pope-the-approval-of-the-franciscan-rule
696,Processional Cross with Saint Mary Magdalene and a Blessed Hermit,Lorenzo Monaco,1392/95,Tempera on panel,Panel (Including Frame): 57.3 × 28 cm (22 1/2 × 11 1/16 in.); Painted Surface: 51 × 23.3 cm (20 1/8 × 9 3/16 in.); Widest Point at Center: 13.2 cm (5 3/16 in.),Dataset\Lorenzo Monaco\processional-cross-with-saint-mary-magdalene-and-a-blessed-hermit
697,The Crucifixion,Taddeo di Bartolo,1401/04,Tempera on panel,Panel: 37.6 × 72.4 cm (14 3/4 × 28 1/2 in.); Painted Surface: 33 × 68 cm (13 × 26 3/4 in.),Dataset\Taddeo di Bartolo\the-crucifixion
698,The Continence of Scipio,Workshop of Apollonio di Giovanni,c. 1455,Tempera on panel,41.8 × 137.7 cm (16 1/2 × 54 1/8 in.),Dataset\Workshop of Apollonio di Giovanni\the-continence-of-scipio
699,Pietà,Cosimo Tura,1475/1500,Tempera on panel,71.7 × 55.2 cm (28 1/4 × 21 3/4 in.),Dataset\Cosimo Tura\pieta
700,Holy Family,Joos van Cleve,1520/30,"Oil on panel, with added strips","48.3 × 36.4 cm (19 × 14 3/8 in.)
Panel: 48.3 × 35.3 cm (19 × 13 7/8 in.)",Dataset\Joos van Cleve\holy-family
701,Virgin and Child Crowned by Angels,Colyn de Coter,1490/95,Oil on panel,"151.9 × 88.6 cm (59 13/16 × 34 7/8 in.)
Painted surface: 150 × 86.8 cm (59 1/16 × 34 1/8 in.)",Dataset\Colyn de Coter\virgin-and-child-crowned-by-angels
702,Lamentation over the Body of Christ,Gerard David,c. 1500,Oil on panel,55.1 × 62.8 cm (21 1/2 × 24 1/2 in.),Dataset\Gerard David\lamentation-over-the-body-of-christ
703,Saint Augustine and an Augustinian Canoness,Northern Netherlandish School,1525/50,Oil on panel,"65.3 × 22.7 cm (25 11/16 × 8 15/16 in.)
Original image: 64.3 × 22 cm (25 5/16 × 8 11/16 in.)",Dataset\Northern Netherlandish School\saint-augustine-and-an-augustinian-canoness
704,Saint Gertrude of Nivelles and an Augustinian Canoness,Northern Netherlandish School,1525/50,Oil on panel,"65.3 × 22.7 cm (25 11/16 × 8 15/16 in.)
Original image: 64 × 21.9 cm (25 3/16 × 8 5/8 in.)",Dataset\Northern Netherlandish School\saint-gertrude-of-nivelles-and-an-augustinian-canoness
705,Holy Family,Northern Netherlandish School,1440/60,Oil on panel,Panel: 50.2 × 47.8 cm (19 3/4 × 18 3/4 in.); Painted Surface: 49.5 × 47.3 cm (19 1/2 × 18 5/8 in.),Dataset\Northern Netherlandish School\holy-family
706,John Philip Kemble,Martin Archer Shee,c.1795,Oil on canvas,72.7 × 59.7 cm (28 5/8 × 23 1/2 in.),Dataset\Martin Archer Shee\john-philip-kemble
707,Christ Presented to the People,Northern Netherlandish School,1475/85,Oil on panel,"51.9 × 34.8 cm (20 7/16 × 13 11/16 in.)
Painted surface: 50.6 × 33.6 cm (19 7/8 × 13 1/4 in.)",Dataset\Northern Netherlandish School\christ-presented-to-the-people
708,Virgin and Child,Hans Memling,1485/90,Oil on panel,"Frame: 41.1 × 33.4 cm (16 3/16 × 13 1/8 in.)
Painted surface: 34.5 × 26.8 cm (14 1/16 × 10 1/2 in.)",Dataset\Hans Memling\virgin-and-child
709,Portrait of Jean Gross (recto); Coat of Arms of Jean Gros (verso),Rogier van der Weyden,1460/64,Oil on panel,15 3/16 × 11 3/8 in. (38.5 × 28.8 cm); painted surface: 14 3/8 × 10 5/8 in. (36.5 × 27 cm); reverse: 15 3/8 × 11 3/8 in. (39 × 28.8 cm); reverse painted surface: 14 1/2 × 10 1/2 in. (36.8 × 26.7 cm),Dataset\Rogier van der Weyden\portrait-of-jean-gross-recto-coat-of-arms-of-jean-gros-verso
710,Virgin and Child,Workshop of Rogier van der Weyden,1460/65,Oil on panel,"38.4 × 28.3 cm (15 1/8 × 11 1/8 in.)
Painted surface: 36.5 × 27 cm (14 3/8 × 10 5/8 in.)",Dataset\Workshop of Rogier van der Weyden\virgin-and-child
711,Virgin and Child,Adriaen Isenbrant,1515/25,Oil on panel,40.4 × 31.6 cm (15 7/8 × 12 7/16 in.); painted surface: 38.7 × 30.5 cm (15 1/4 × 12 in.),Dataset\Adriaen Isenbrant\virgin-and-child
712,"Panels from the High Altar of the Charterhouse of Saint-Honoré, Thuison-les-Abbeville: Virgin and Child",French School,1490/1500,Oil on panel,Panel: 117.3 × 50.8 cm (46 3/16 × 20 in.); Painted Surface: 116 × 49.5 cm (45 11/16 × 19 1/2 in.),Dataset\French School\panels-from-the-high-altar-of-the-charterhouse-of-saint-honore-thuison-les-abbeville-virgin-and-child
713,"Panels from the High Altar of the Charterhouse of Saint-Honoré, Thuison-les-Abbeville: Saint John the Baptist",French School,1490/1500,Oil on panel,Panel: 117 × 52 cm (46 1/16 × 20 1/2 in.); Painted Surface: 115.3 × 49.5 cm (45 3/8 × 19 1/2 in.),Dataset\French School\panels-from-the-high-altar-of-the-charterhouse-of-saint-honore-thuison-les-abbeville-saint-john-the-baptist
714,"Panels from the High Altar of the Charterhouse of Saint-Honoré, Thuison-les-Abbeville: The Last Supper",French School,1490/1500,Oil on panel,Panel: 117.2 × 50.9 cm (46 1/8 × 20 in.); Painted Surface: 115.6 × 49.7 cm (45 1/2 × 19 9/16 in.),Dataset\French School\panels-from-the-high-altar-of-the-charterhouse-of-saint-honore-thuison-les-abbeville-the-last-supper
715,Altarpiece from Thuison-les-Abbeville: The Ascension,French School,1490/1500,Oil on panel,Panel: 117.4 × 50.8 cm (46 1/4 × 20 in.); Painted Surface: 115.8 × 49.9 cm (45 9/16 × 19 5/8 in.),Dataset\French School\altarpiece-from-thuison-les-abbeville-the-ascension
716,"Panels from the High Altar of the Charterhouse of Saint-Honoré, Thuison-les-Abbeville: Pentecost",French School,1490/1500,Oil on panel,Panel: 117 × 51.1 cm (46 1/16 × 20 1/8 in.); Painted Surface: 115.1 × 49.4 cm (45 5/16 × 19 7/16 in.),Dataset\French School\panels-from-the-high-altar-of-the-charterhouse-of-saint-honore-thuison-les-abbeville-pentecost
717,Altarpiece from Thuison-les-Abbeville: Saint Honoré,French School,1490/1500,Oil on panel,Panel: 117 × 51.1 cm (46 1/16 × 20 1/8 in.); Painted Surface: 115.5 × 49.5 cm (45 1/2 × 19 1/2 in.),Dataset\French School\altarpiece-from-thuison-les-abbeville-saint-honore
718,Altarpiece from Thuison-les-Abbeville: Saint Hugh of Lincoln,French School,1490/1500,Oil on panel,Panel: 117 × 50.7 cm (46 1/16 × 19 15/16 in.); Painted Surface: 115.5 × 49.6 cm (45 1/2 × 19 9/16 in.),Dataset\French School\altarpiece-from-thuison-les-abbeville-saint-hugh-of-lincoln
719,"Portrait of Louise de Halluin, dame de Cipierre",Corneille de Lyon,c. 1555,Oil on panel,21.4 × 17.8 cm (8 7/16 × 7 in.); painted surface: 20.5 × 16.5 cm (8 1/16 × 6 1/2 in.),Dataset\Corneille de Lyon\portrait-of-louise-de-halluin-dame-de-cipierre
720,The Annunciation,"Jean Hey, (the Master of Moulins)",1490/95,Oil on panel,72.5 × 50.1 cm (28 1/2 × 19 11/16 in.); painted surface: 71.7 × 49.2 cm (28 1/4 × 19 3/8 in.),"Dataset\Jean Hey, (the Master of Moulins)\the-annunciation"
721,"Virgin and Child with Saint Anne, Saint Gereon, and a Donor","Bartel Bruyn, the elder",c. 1520,Oil on panel,"30 7/8 × 22 13/16 in. (78.4 × 57.9 cm)
Painted surface: 30 × 22 in. (76.2 × 55.8 cm)","Dataset\Bartel Bruyn, the elder\virgin-and-child-with-saint-anne-saint-gereon-and-a-donor"
722,The Annunciation,Johann Koerbecke,Completed by 1457,"Oil on panel, transferred to canvas",Panel: 93.3 × 65.8 cm (36 3/4 × 25 7/8 in.); Painted Surface: 36 3/16 × 25 1/4 in.,Dataset\Johann Koerbecke\the-annunciation
723,Mountain Road with Travelers,"Joos de Momper, II",c. 1610/25,Oil on cradled panel,19 1/2 × 31 1/2 in. (50.2 × 80 cm),"Dataset\Joos de Momper, II\mountain-road-with-travelers"
724,Fishing Boats in a Calm,Jan van de Cappelle,1651,Oil on canvas,57.6 × 71.2 cm (22 11/16 × 28 in.),Dataset\Jan van de Cappelle\fishing-boats-in-a-calm
725,An Elegant Company,Pieter Codde,1632,Oil on panel,58.8 × 92.7 cm (23 1/8 × 36 1/2 in.),Dataset\Pieter Codde\an-elegant-company
726,Travellers Arriving at an Inn,Pieter De Neyn,1630/40,Oil on panel,20.3 × 30.5 cm (8 × 12 in.),Dataset\Pieter De Neyn\travellers-arriving-at-an-inn
727,Friar Pedro Offers Shoes to El Maragato and Prepares to Push Aside His Gun,Francisco José de Goya y Lucientes,c. 1806,Oil on panel,11 1/2 × 15 3/4 in. (29.2 × 38.5 cm),Dataset\Francisco José de Goya y Lucientes\friar-pedro-offers-shoes-to-el-maragato-and-prepares-to-push-aside-his-gun
728,Friar Pedro Wrests the Gun from El Maragato,Francisco José de Goya y Lucientes,c. 1806,Oil on panel,11 1/2 × 15 3/8 in. (29.2 × 38.5 cm),Dataset\Francisco José de Goya y Lucientes\friar-pedro-wrests-the-gun-from-el-maragato
729,Friar Pedro Clubs El Maragato with the Butt of the Gun,Francisco José de Goya y Lucientes,c. 1806,Oil on panel,11 1/2 × 15 5/8 in. (29.2 × 38.5 cm),Dataset\Francisco José de Goya y Lucientes\friar-pedro-clubs-el-maragato-with-the-butt-of-the-gun
730,Friar Pedro Shoots El Maragato as His Horse Runs Off,Francisco José de Goya y Lucientes,c. 1806,Oil on panel,29.2 × 38.5 cm (11 1/2 × 15 5/8 in.),Dataset\Francisco José de Goya y Lucientes\friar-pedro-shoots-el-maragato-as-his-horse-runs-off
731,Friar Pedro Binds El Maragato with a Rope,Francisco José de Goya y Lucientes,c. 1806,Oil on panel,11 1/2 × 15 5/8 in. (29.2 × 38.5 cm),Dataset\Francisco José de Goya y Lucientes\friar-pedro-binds-el-maragato-with-a-rope
732,Portrait of Isidoro Maiquez,Francisco José de Goya y Lucientes,c. 1807,Oil on canvas,82.3 × 63.3 cm (32 3/8 × 24 7/8 in.),Dataset\Francisco José de Goya y Lucientes\portrait-of-isidoro-maiquez
733,Fishing Boats off an Estuary,Jan van Goyen,1633,Oil on panel,36 × 57.8 cm (14 1/8 × 22 3/4 in.),Dataset\Jan van Goyen\fishing-boats-off-an-estuary
734,Little Girl Pouting,Follower of Jean Baptiste Greuze,1775/1800,Oil on canvas,16 1/2 × 13 in. (42 × 33 cm),Dataset\Follower of Jean Baptiste Greuze\little-girl-pouting
735,Ruined Archway,Francesco Guardi,1775/93,Oil on canvas,11 5/8 × 19 1/2 in. (29.5 × 49.7 cm),Dataset\Francesco Guardi\ruined-archway
736,The Hollow Road,Cornelis Huysmans,c. 1700,Oil on canvas,25.4 × 31.8 cm (10 × 12 1/2 in.),Dataset\Cornelis Huysmans\the-hollow-road
737,Monks at Supper,Alessandro Magnasco,c. 1700/25,Oil on canvas,68 × 82 cm (26 3/4 × 32 1/4 in.),Dataset\Alessandro Magnasco\monks-at-supper
738,Portrait of a Gentleman,Caspar Netscher,1680,Oil on canvas,18 1/2 × 15 in.,Dataset\Caspar Netscher\portrait-of-a-gentleman
739,The Music Lesson,Jacob Ochtervelt,1671,Oil on canvas,80.2 × 65.5 cm (31 × 25 3/16 in.),Dataset\Jacob Ochtervelt\the-music-lesson
740,Innocence Prefers Love to Riches,Pierre Paul Prud'hon,c. 1804,Oil on panel,34.3 × 27.2 cm (13 1/2 × 10 9/16 in.),Dataset\Pierre Paul Prud'hon\innocence-prefers-love-to-riches
741,The Housekeeper,Hendrik Martensz. Sorgh,1657,Oil on panel,51.1 × 66.4 cm (20 1/8 × 26 1/8 in.),Dataset\Hendrik Martensz. Sorgh\the-housekeeper
742,Portrait of an Officer,Italian School,c. 1650,Oil on canvas,71.1 × 61.7 cm (28 1/4 × 24 1/4 in.),Dataset\Italian School\portrait-of-an-officer
743,The Flageolet Player,"David Teniers, the younger",1635/40,Oil on panel,22.3 × 15.8 cm (8 3/4 × 6 1/4 in.),"Dataset\David Teniers, the younger\the-flageolet-player"
744,Virgin and Child with Saints Dominic and Hyacinth,Giambattista Tiepolo,1730/35,Oil on canvas,108 × 54 in. (274.3 × 137.2 cm),Dataset\Giambattista Tiepolo\virgin-and-child-with-saints-dominic-and-hyacinth
745,Morning,Claude Joseph Vernet,1760,Oil on canvas,65.7 × 96.8 cm (25 7/8 × 38 1/8 in.),Dataset\Claude Joseph Vernet\morning
746,Anduze,Albert André,1910,Oil on cardboard,44.5 × 62.2 cm (17 1/2 × 24 1/2 in.),Dataset\Albert André\anduze
747,"Place des Batignolles, Paris",Albert André,1893,Oil on panel,48.6 × 65.2 cm (19 1/8 × 25 11/16 in.),Dataset\Albert André\place-des-batignolles-paris
748,Cigar Making in Seville,Ricardo Canals y Llambí,1899,Oil on canvas,24 × 20 in. (61.2 × 50.5 cm),Dataset\Ricardo Canals y Llambí\cigar-making-in-seville
749,Rinaldo and Armida in Her Garden,Giambattista Tiepolo,1742/45,Oil on canvas,186.7 × 259.4 cm (73 1/2 × 102 1/8 in.),Dataset\Giambattista Tiepolo\rinaldo-and-armida-in-her-garden
750,"The Bay of Marseille, Seen from L'Estaque",Paul Cezanne,about 1885,Oil on canvas,31 5/8 × 39 5/8 in. (80.2 × 100.6 cm),Dataset\Paul Cezanne\the-bay-of-marseille-seen-from-l-estaque
751,Armida Encounters the Sleeping Rinaldo,Giambattista Tiepolo,1742/45,Oil on canvas,187.5 × 216.8 cm (73 13/16 × 85 3/8 in.),Dataset\Giambattista Tiepolo\armida-encounters-the-sleeping-rinaldo
752,The Brook of Les Puits-Noir,Gustave Courbet,c. 1855,Oil on canvas,46.5 × 55.7 cm (18 1/4 × 21 7/8 in.),Dataset\Gustave Courbet\the-brook-of-les-puits-noir
753,Armida Abandoned by Rinaldo,Giambattista Tiepolo,1742/45,Oil on canvas,73 1/2 × 102 1/8 in.,Dataset\Giambattista Tiepolo\armida-abandoned-by-rinaldo
754,Virgin and Child with Saint Elizabeth and the Infant Saint John the Baptist,Jacques Blanchard,1628/29,Oil on canvas,37 × 48 3/16 in. (94 × 122.4 cm),Dataset\Jacques Blanchard\virgin-and-child-with-saint-elizabeth-and-the-infant-saint-john-the-baptist
755,Rinaldo and the Magus of Ascalon,Giambattista Tiepolo,1742/45,Oil on canvas,182.9 × 188 cm (72 × 74 in.),Dataset\Giambattista Tiepolo\rinaldo-and-the-magus-of-ascalon
756,No te aha oe riri (Why Are You Angry?),Paul Gauguin,1896,Oil on jute canvas,95.3 × 130.55 cm (37 1/2 × 51 3/8 in.),Dataset\Paul Gauguin\no-te-aha-oe-riri-why-are-you-angry
757,The Flight into Egypt,Abraham Jansz. van Diepenbeeck,c. 1650,Oil on panel,17 1/4 × 12 1/2 in. (43.8 × 31.8 cm),Dataset\Abraham Jansz. van Diepenbeeck\the-flight-into-egypt
758,Jesus Mocked by the Soldiers,Édouard Manet,1865,Oil on canvas,190.8 × 148.3 cm (74 7/8 × 58 3/8 in.),Dataset\Édouard Manet\jesus-mocked-by-the-soldiers
759,Mill of Pont Maupuit,Jean Baptiste Armand Guillaumin,c. 1900,Oil on canvas,63.5 × 80 cm (25 × 31 1/2 in.),Dataset\Jean Baptiste Armand Guillaumin\mill-of-pont-maupuit
760,A Magdalen,Walter MacEwen,c. 1896,Oil on canvas,138.4 × 106.7 cm (54 1/2 × 42 in.),Dataset\Walter MacEwen\a-magdalen
761,Ravine Near Biskra,Victor Pierre Huguet,1890/1900,Oil on canvas,14 7/8 × 18 1/8 in. (37.8× 46.2 cm),Dataset\Victor Pierre Huguet\ravine-near-biskra
762,"Pont Saint Michel, Paris",Albert Marquet,c. 1910,Oil on canvas,12 1/2 × 15 5/8 in.,Dataset\Albert Marquet\pont-saint-michel-paris
763,Girl Standing before a Mirror,Caspar Netscher,1668,Oil on panel,35.8 × 28 cm (14 1/8 × 11 7/8 in),Dataset\Caspar Netscher\girl-standing-before-a-mirror
764,The Customs House at Varengeville,Claude Monet,1897,Oil on canvas,65.6 × 92.8 cm (25 13/16 × 36 1/2 in.),Dataset\Claude Monet\the-customs-house-at-varengeville
765,"Charing Cross Bridge, London",Claude Monet,1901,Oil on canvas,65 × 92.2 cm (25 5/8 × 36 5/16 in.),Dataset\Claude Monet\charing-cross-bridge-london
766,Brooklyn Bridge,Henry Ward Ranger,1899,Oil on canvas,72.4 × 91.8 cm (28 1/2 × 36 1/8 in.),Dataset\Henry Ward Ranger\brooklyn-bridge
767,Apples and Grapes,Claude Monet,1880,Oil on canvas,66.5 × 82.5 cm (26 3/16 × 32 1/2 in.),Dataset\Claude Monet\apples-and-grapes
768,Beata Beatrix,Dante Gabriel Rossetti,1871/72,Oil on canvas,"87.5 × 69.3 cm (34 7/16 × 27 1/4 in.)
Predella: 26.5 × 69.2 cm",Dataset\Dante Gabriel Rossetti\beata-beatrix
769,The Artist's House at Argenteuil,Claude Monet,1873,Oil on canvas,60.2 × 73.3 cm (23 11/16 × 28 7/8 in.),Dataset\Claude Monet\the-artist-s-house-at-argenteuil
770,"Time, Death and Judgment",George Frederick Watts,1866,Oil on canvas,36 × 28 5/16 in. (91.5 × 72 cm),Dataset\George Frederick Watts\time-death-and-judgment
771,A Lamplight Study: Herr Joachim,George Frederick Watts,1868,Oil on canvas,37 × 23 in. (94 × 58.6 cm),Dataset\George Frederick Watts\a-lamplight-study-herr-joachim
772,"Stack of Wheat (Snow Effect, Overcast Day)",Claude Monet,1890/91,Oil on canvas,66 × 93 cm (26 × 36 5/8 in.),Dataset\Claude Monet\stack-of-wheat-snow-effect-overcast-day
773,Branch of the Seine near Giverny (Mist),Claude Monet,1897,Oil on canvas,89.9 × 92.7 cm (35 3/8 × 36 1/2 in.),Dataset\Claude Monet\branch-of-the-seine-near-giverny-mist
774,Water Lilies,Claude Monet,1906,Oil on canvas,89.9 × 94.1 cm (35 3/8 × 37 1/16 in.),Dataset\Claude Monet\water-lilies
775,"Arrival of the Normandy Train, Gare Saint-Lazare",Claude Monet,1877,Oil on canvas,60.3 × 80.2 cm (23 3/4 × 31 1/2 in.),Dataset\Claude Monet\arrival-of-the-normandy-train-gare-saint-lazare
776,Vétheuil,Claude Monet,1901,Oil on canvas,90 × 93 cm (36 7/16 × 36 5/8 in.),Dataset\Claude Monet\vetheuil
777,"Houses of Parliament, London",Claude Monet,1900/01,Oil on canvas,81.2 × 92.8 cm (32 × 36 9/16 in.),Dataset\Claude Monet\houses-of-parliament-london
778,Andromeda,Odilon Redon,1904/10,Oil on panel,22 1/8 × 21 1/4 in. (56 × 54 cm),Dataset\Odilon Redon\andromeda
779,Lucie Berard (Child in White),Pierre-Auguste Renoir,1883,Oil on canvas,61.3 × 49.8 cm (24 3/8 × 19 5/8 in.),Dataset\Pierre-Auguste Renoir\lucie-berard-child-in-white
780,Chrysanthemums,Pierre-Auguste Renoir,1881/82,Oil on canvas,54.8 × 65.8 cm (21 5/8 × 25 7/8 in.),Dataset\Pierre-Auguste Renoir\chrysanthemums
781,Madame Léon Clapisson,Pierre-Auguste Renoir,1883,Oil on canvas,81.2 × 65.3 cm (32 × 25 ¾ in.),Dataset\Pierre-Auguste Renoir\madame-leon-clapisson
782,Fruits of the Midi,Pierre-Auguste Renoir,1881,Oil on canvas,51 × 65 cm (20 1/16 × 25 5/8 in.),Dataset\Pierre-Auguste Renoir\fruits-of-the-midi
783,"The Seine at Port-Marly, Piles of Sand",Alfred Sisley,1875,Oil on canvas,21 7/16 × 29 in. (54.5 × 73.7 cm),Dataset\Alfred Sisley\the-seine-at-port-marly-piles-of-sand
784,Hesitation (Madame Monteaux?),Alfred Stevens,c. 1867,Oil on panel,55.5 × 43.2 cm (21 7/8 × 17 in.),Dataset\Alfred Stevens\hesitation-madame-monteaux
785,Child Playing: Annette Roussel in Front of a Wooden Chair,Édouard Jean Vuillard,c. 1900,Oil on cardboard,17 1/4 × 22 3/4 in. (43.8 × 57.8 cm),Dataset\Édouard Jean Vuillard\child-playing-annette-roussel-in-front-of-a-wooden-chair
786,Woman in Front of a Still Life by Cezanne,Paul Gauguin,1890,Oil on linen canvas,65.3 × 54.9 cm (25 11/16 × 21 5/8 in.),Dataset\Paul Gauguin\woman-in-front-of-a-still-life-by-cezanne
787,At the Hippodrome,Gifford Beal,1915,Oil on canvas,88.6 × 118.8 cm (34 7/8 × 46 3/4 in.),Dataset\Gifford Beal\at-the-hippodrome
788,Martin A. Ryerson,Louis Betts,1913,Oil on canvas,166.4 × 95.3 cm (65 1/2 × 37 1/2 in.),Dataset\Louis Betts\martin-a-ryerson
789,Old Tower at Avignon,Samuel Colman,c. 1875,Oil on canvas,20.3 × 23.7 cm (8 × 9 5/16 in.),Dataset\Samuel Colman\old-tower-at-avignon
790,Choral Sea,Arthur B. Davies,1915,Oil on canvas,45.1 × 100 cm (17 × 39 3/8 in.),Dataset\Arthur B. Davies\choral-sea
791,Full-Orbed Moon,Arthur B. Davies,1901,Oil on canvas,58.6 × 40 cm (23 1/8 × 15 3/4 in.),Dataset\Arthur B. Davies\full-orbed-moon
792,Listening Valleys Hear,Arthur B. Davies,c. 1907,Oil on canvas,36.8 × 44.5 cm (14 1/2 × 17 1/2 in.),Dataset\Arthur B. Davies\listening-valleys-hear
793,Spring View from a Thatched Pavilion on the Lakeshore,School of Sesshu,late 15th century,Album leaf mounted as a hanging scroll; ink and light colors on silk,42.0 × 35.3 cm (painting); 128.0 × 53.3 cm (overall),Dataset\School of Sesshu\spring-view-from-a-thatched-pavilion-on-the-lakeshore
794,Sacramental Tree,Arthur B. Davies,1915,Oil on canvas,64.8 × 104.1 cm (25 1/2 × 41 in.),Dataset\Arthur B. Davies\sacramental-tree
